poll_id,source_org,region,title,published,link,survey_topic,target_population,survey_metrics,sentiment,geopolitical_implication,summary
pew_international_076145,Pew Research Center,Global / Multi-country,Politics: Sept. 18,"Fri, 18 Sep 2026 14:51:08 +0000",https://www.pewresearch.org/newsletter/politics/politics-sept-18/,Politics: Sept. 18,Global / Multi-country,66%,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"Politics A monthly digest of research on public attitudes on politics and major policy issues · Subscribe ↗ From our research The share of those with bachelor’s degrees who say “working class” describes them extremely or very well, compared with 66% of those without bachelor’s degrees. Read more."
pew_international_350861,Pew Research Center,Global / Multi-country,Americans value press freedom but differ on its limits,"Thu, 17 Sep 2026 20:00:08 +0000",https://www.pewresearch.org/newsletter/the-briefing/americans-value-press-freedom-but-differ-on-its-limits/,Americans value press freedom but differ on its li,Global / Multi-country,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"The Briefing ☀️ Happy Thursday! The Briefing is your guide to the world of news and information. Sign up here! In today’s email: 🔥 Featured story Federal court proceedings this week revealed an extended fight between the Justice Department and LinkedIn, with the government seeking to obtain details on a journalist’s interactions on the site [&#8230;]"
pew_international_719506,Pew Research Center,Global / Multi-country,Acknowledgments,"Thu, 17 Sep 2026 14:00:00 +0000",https://www.pewresearch.org/global/2026/09/17/acknowledgments-global-ai-2026/,"Artificial Intelligence, Global Tech & Cybersecurity, International Technology",Global / Multi-country,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"This report is a collaborative effort based on the input and analysis of the following individuals. Laura Silver, Associate Director, Global Attitudes ResearchRichard Wike, Director, Global Attitudes ResearchMoira Fagan, Senior ResearcherJordan Lippert, Research Analyst Julia Armeli, Research AssistantDorene Asare-Marfo, Senior Panel ManagerPeter Bell, Associate Director, Design and UXJanakee Chavda, Associate Digital ProducerLaura Clancy, Research AnalystJonathan [&#8230;]"
pew_us_politics_076145,Pew Research Center,United States,Politics: Sept. 18,"Fri, 18 Sep 2026 14:51:08 +0000",https://www.pewresearch.org/newsletter/politics/politics-sept-18/,Politics: Sept. 18,United States,66%,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"Politics A monthly digest of research on public attitudes on politics and major policy issues · Subscribe ↗ From our research The share of those with bachelor’s degrees who say “working class” describes them extremely or very well, compared with 66% of those without bachelor’s degrees. Read more."
pew_us_politics_350861,Pew Research Center,United States,Americans value press freedom but differ on its limits,"Thu, 17 Sep 2026 20:00:08 +0000",https://www.pewresearch.org/newsletter/the-briefing/americans-value-press-freedom-but-differ-on-its-limits/,Americans value press freedom but differ on its li,United States,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"The Briefing ☀️ Happy Thursday! The Briefing is your guide to the world of news and information. Sign up here! In today’s email: 🔥 Featured story Federal court proceedings this week revealed an extended fight between the Justice Department and LinkedIn, with the government seeking to obtain details on a journalist’s interactions on the site [&#8230;]"
pew_us_politics_719506,Pew Research Center,United States,Acknowledgments,"Thu, 17 Sep 2026 14:00:00 +0000",https://www.pewresearch.org/global/2026/09/17/acknowledgments-global-ai-2026/,"Artificial Intelligence, Global Tech & Cybersecurity, International Technology",United States,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"This report is a collaborative effort based on the input and analysis of the following individuals. Laura Silver, Associate Director, Global Attitudes ResearchRichard Wike, Director, Global Attitudes ResearchMoira Fagan, Senior ResearcherJordan Lippert, Research Analyst Julia Armeli, Research AssistantDorene Asare-Marfo, Senior Panel ManagerPeter Bell, Associate Director, Design and UXJanakee Chavda, Associate Digital ProducerLaura Clancy, Research AnalystJonathan [&#8230;]"
ecfr_european_opinion_257420,ECFR,European Union / Europe,"Associate membership could transform EU-Canada ties. First, Brussels has to define it","Fri, 18 Sep 2026 10:35:20 +0000",https://ecfr.eu/article/associate-membership-could-transform-eu-canada-ties-first-brussels-has-to-define-it/,"European Power, Europe",European Union / Europe,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"Canada’s enthusiasm for closer EU ties is real, and so is the EU’s need for allies beyond America. But as long as the EU’s offer of “associate membership” to Canada remains undefined, it risks ending up as empty symbolism"
ecfr_european_opinion_198932,ECFR,European Union / Europe,Ukraine’s Winter of Pressure,"Fri, 18 Sep 2026 05:00:00 +0000",https://ecfr.eu/podcasts/episode/ukraines-winter-of-pressure/,"European Security, Ukraine",European Union / Europe,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),Mark Leonard welcomes Jana Kobzova to discuss the mountain pressure on Ukraine and how Europe can help it weather another wartime winter
ecfr_european_opinion_873730,ECFR,European Union / Europe,An outsider within: The paradox of the Europe-Turkey relationship,"Wed, 16 Sep 2026 09:34:49 +0000",https://ecfr.eu/publication/an-outsider-within-the-paradox-of-the-europe-turkey-relationship/,"European Power, Reorder, Europe",European Union / Europe,원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),Turkey is neither drifting away from the West nor is it coming home. It has become an embedded outsider: a middle power that has learned to build strategic autonomy from inside the Western system rather than by leaving it.
ipsos_global_431615,Ipsos,Global (28+ Countries),Can synthetic consumers help brands make better decisions?,"Fri, 18 Sep 2026 09:40:25 +0200",https://www.ipsos.com/en/can-synthetic-consumers-help-brands-make-better-decisions,Can synthetic consumers help brands make better de,Global (28+ Countries),원문 요약 참조,neutral,로컬 LLM 정밀 분석 대기 (규칙 기반 수집 완료),"How Barilla Combined Human and Synthetic Data to Make Faster, Smarter Recipe Decisions"
