article_id,language,issue_ids,continent,countries_involved,tag_status,tag_upgrade_reason,llm_review_needed,source_type,source_name,source_url,source_orientation,outlet_bias,country,title,link,llm_label,llm_evidence_quote,author_or_org,key_argument,forecast,forecast_horizon,evidence_basis,stance_toward,human_label,correction_note,reviewed_at,collected_at
7319caa8,en,[],,[],unclassified,,False,news,feeds.npr.org,feeds.npr.org,,center,,"Turkish habit of stashing gold ""under the pillow' hurts economy, government says",https://www.npr.org/2026/09/15/g-s1-143414/turkey-gold-economy,,,,,,,,,,,,2026-09-16T02:00:00.736733+00:00
d0a3d684,en,[],,[],unclassified,,False,news,feeds.npr.org,feeds.npr.org,,center,,Turks often keep gold as a hedge against inflation. It may be hurting Turkey's future,https://www.npr.org/2026/09/15/nx-s1-5949212/turks-often-keep-gold-as-a-hedge-against-inflation-it-may-be-hurting-turkeys-future,,,,,,,,,,,,2026-09-16T02:00:00.740248+00:00
911c8428,en,[],,['USA'],unclassified,,False,news,feeds.npr.org,feeds.npr.org,,center,,"State of U.S. democracy reaches new low, report finds",https://www.npr.org/2026/09/15/nx-s1-5969741/state-of-u-s-democracy-reaches-new-low-report-finds,,,,,,,,,,,,2026-09-16T02:00:00.745253+00:00
aa120dc3,en,['Trump_Economy'],북미,['USA'],matched,,False,news,feeds.npr.org,feeds.npr.org,,center,,"SCOTUS rejects Trump's mail voting limits. And, the Kennedy Center financial crisis",https://www.npr.org/2026/09/15/g-s1-143294/up-first-newsletter-bernie-sanders-steve-bannon-ai-mail-in-ballots-kennedy-center-emmys,,,,,,,,,,,,2026-09-16T02:00:00.746897+00:00
a289aa94,en,[],,"['Ukraine', 'Russia']",unclassified,,False,news,feeds.npr.org,feeds.npr.org,,center,,Trump says Ukraine and Russia agreed to stop attacks on energy sites,https://www.npr.org/2026/09/15/nx-s1-5968728/trump-says-ukraine-and-russia-agreed-to-stop-attacks-on-energy-sites,,,,,,,,,,,,2026-09-16T02:00:00.748008+00:00
b10bd2ee,en,['Trump_Economy'],북미,['USA'],matched,,False,news,feeds.npr.org,feeds.npr.org,,center,,Air pollution spiked after the Trump administration stopped embassy monitoring,https://www.npr.org/2026/09/15/nx-s1-5966503/air-pollution-spiked-after-the-trump-administration-stopped-embassy-monitoring,,,,,,,,,,,,2026-09-16T02:00:00.751043+00:00
2778b3fa,en,['Baltic_Security'],유럽,"['Ukraine', 'Baltic States']",matched,,False,news,feeds.npr.org,feeds.npr.org,,center,,NATO jets shoot down a drone in Lithuanian airspace,https://www.npr.org/2026/09/15/g-s1-143284/nato-jets-down-drone-in-lithuanian-airspace,,,,,,,,,,,,2026-09-16T02:00:00.753162+00:00
027cc6c7,en,[],,[],unclassified,,False,news,feeds.npr.org,feeds.npr.org,,center,,Anthropic co-founder says slowing AI is a 'collective action problem',https://www.npr.org/2026/09/15/nx-s1-5968852/anthropic-jack-clark-ai-risks-safety,,,,,,,,,,,,2026-09-16T02:00:00.755159+00:00
7e7ef48c,en,['Israel_Palestine'],중동,"['Israel', 'Palestine']",matched,,False,news,feeds.npr.org,feeds.npr.org,,center,,Israel is 'dismantling Palestinian life' says Israeli human rights group,https://www.npr.org/2026/09/14/nx-s1-5964897/israel-is-systematically-dismantling-palestinian-life-says-human-rights-group,,,,,,,,,,,,2026-09-16T02:00:00.758804+00:00
580034e1,en,[],,[],unclassified,,False,news,feeds.npr.org,feeds.npr.org,,center,,The producer of Fleabag and Baby Reindeer's tip for finding a hit? Don't look for one,https://www.npr.org/2026/09/14/nx-s1-5968566/francesca-moody-fleabag-producer-hits-edinburgh,,,,,,,,,,,,2026-09-16T02:00:00.760828+00:00
